Date,Open,High,Low,Close,Adj Close,Volume,Name,Surname,Date_Practice,Percentage_change
2015-04-16 00:00:00+00:00,31.0,35.740002,28.219999,30.0,30.0,19763300,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,0.0
2015-04-17 00:00:00+00:00,29.77,30.299999,26.51,27.58,27.58,3965500,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-4.1316761841
2015-04-20 00:00:00+00:00,28.77,28.9,24.870001,24.9,24.9,3076200,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-3.4758428919
2015-04-21 00:00:00+00:00,24.969999,26.040001,24.559999,25.75,25.75,2184700,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-15.2182665286
2015-04-22 00:00:00+00:00,26.0,26.24,24.950001,25.120001,25.120001,1442500,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,3.9615423077000003
2015-04-23 00:00:00+00:00,24.93,25.74,24.08,25.620001,25.620001,1298100,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-4.2920176494
2015-04-24 00:00:00+00:00,25.549999,25.700001,25.0,25.58,25.58,532800,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,2.4266106625
2015-04-27 00:00:00+00:00,25.700001,26.469999,25.209999,25.9,25.9,731300,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,0.5836653469
2015-04-28 00:00:00+00:00,25.75,25.9,24.18,24.49,24.49,954100,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,0.1941708738
2015-04-29 00:00:00+00:00,24.49,24.969,22.32,22.42,22.42,1674500,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-5.1449571254
2015-04-30 00:00:00+00:00,22.66,23.18,21.82,22.24,22.24,1221500,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-8.0759046778
2015-05-01 00:00:00+00:00,22.25,23.0,21.27,21.75,21.75,687300,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-1.8426966292
2015-05-04 00:00:00+00:00,21.75,23.285,21.75,23.24,23.24,648600,Aruzhan,Seitkul,2022-09-07T00:00:00.000Z,-2.2988505747
